marca,modelo,pista,saltos,lanzamientos,asfalto,cross
361 Degrees,Biospeed Future,True,True,True,True,True
361 Degrees,Biospeed pro,False,False,False,True,True
361 Degrees,Flame,False,False,False,True,True
361 Degrees,Flame 2,False,False,False,True,True
361 Degrees,Furious,False,False,False,True,True
361 Degrees,Furious 2,False,False,False,True,True
361 Degrees,Furious 2,False,False,False,True,True
361 Degrees,Furious Future,False,False,False,True,True
361 Degrees,Furious Future 2,False,False,False,True,True
361 Degrees,mironude,False,False,False,True,True
Adidas,Adizero Adios 3,False,False,False,True,True
Adidas,Adizero Adios 4,False,False,False,True,True
Adidas,Adizero Adios 5,False,False,False,True,True
Adidas,Adizero Adios 6,False,False,False,True,True
Adidas,Adizero Adios 8,False,False,False,True,True
Adidas,Adizero Adios 9,False,False,False,True,True
Adidas,Adizero Adios Pro,False,False,False,True,True
Adidas,Adizero Adios Pro 2,False,False,False,True,True
Adidas,Adizero Adios Pro 3,False,False,False,True,True
Adidas,Adizero Adios Pro 4,False,False,False,True,True
Adidas,Adizero Adios Pro Evo 1,False,False,False,True,True
Adidas,Adizero Adios Pro Evo 1 v2,False,False,False,True,True
Adidas,Adizero Adios Pro Evo 2,False,False,False,True,True
Adidas,Adizero Ambition,True,False,True,True,True
Adidas,Adizero Ambition 2,True,False,True,True,True
Adidas,Adizero Ambition 24,True,False,True,True,True
Adidas,Adizero Ambition Boost,True,False,True,True,True
Adidas,Adizero Avanti,True,True,True,True,True
Adidas,Adizero Avanti 24,True,True,True,True,True
Adidas,Adizero Avanti Boost,True,True,True,True,True
Adidas,Adizero Avanti TYO,True,True,True,True,True
Adidas,Adizero Boston 10,False,False,False,True,True
Adidas,Adizero Boston 8,False,False,False,True,True
Adidas,Adizero Boston 9,False,False,False,True,True
Adidas,Adizero Discus Hammer,True,True,True,True,True
Adidas,Adizero Finesse,True,True,True,True,True
Adidas,Adizero Finesse 24,True,False,True,True,True
Adidas,Adizero High Jump,True,True,True,True,True
Adidas,Adizero HJ,True,True,True,True,True
Adidas,Adizero HJ FL,True,True,True,True,True
Adidas,Adizero Javelin,True,True,True,True,True
Adidas,Adizero Javelin (22),True,True,True,True,True
Adidas,Adizero Javelin 24,True,True,True,True,True
Adidas,Adizero LJ,True,True,True,True,True
Adidas,Adizero LJ (3),True,True,True,True,True
Adidas,Adizero Prime SP,True,False,True,True,True
Adidas,Adizero Prime SP 3 Strung,True,False,True,True,True
